prov_hab1,hombresCasados,mujeresCasadas,totalMatrimonios
azuay,1254,1256,2510
bolivar,412,418,830
carchi,362,354,716
cañar,800,807,1607
chimborazo,1712,1688,3400
cotopaxi,1418,1413,2831
el oro,2102,2106,4208
esmeraldas,1056,1055,2111
exterior,136,63,199
galapagos,180,177,357
guayas,12038,12082,24120
imbabura,1520,1522,3042
loja,1356,1398,2754
los rios,1335,1347,2682
manabi,3352,3347,6699
morona santiago,434,426,860
napo,269,272,541
orellana,484,487,971
pastaza,273,276,549
pichincha,8847,8841,17688
santa elena,885,874,1759
santo domingo de los tsachilas,1316,1342,2658
sucumbios,449,447,896
tungurahua,1841,1837,3678
zamora chinchipe,343,337,680
